name	author	publisher	date	price	rate	comment
历史深处的忧虑	林达 	 生活·读书·新知三联书店 	 1997-5 	 19.00元	9	窥见美国社会的一扇窗
嫌疑人X的献身	东野圭吾 	 南海出版公司 	 2014-6 	 35.00元	9	空
小时代2.0虚铜时代	郭敬明 	 长江文艺出版社 	 2010-1 	 26.80元	6.3	淳朴自贡少年十里洋场欲海翻波为哪般
金锁记	张爱玲 	 哈尔滨出版社 	 2005-6 	 13.5元	8.5	曹七巧就像希克厉，一个扭曲的英雄
你好，旧时光（上 下）	八月长安 	 新世界出版社 	 2009-12 	 39.80元	8.8	原作名切题
东霓	笛安 	 长江文艺出版社 	 2010-7-1 	 26.80元	8.1	自毁而偏执的东霓
海贼王	尾田荣一郎 	 浙江人民美术出版社 	 2007-11 	 7.50元	9.5	热血，梦想，希望
那些回不去的年少时光	桐华 	 江苏文艺出版社 	 2010-01 	 23.80元	8.5	所有你曾热爱却正在遗忘的人和事
孩子你慢慢来	龙应台 	 生活·读书·新知三联书店 	 2009-12-1 	 28.00元	8.8	我们现在怎样做母亲
橙	安东尼 	 长江文艺出版社 	 2010-10 	 28.80元	8.2	定做一个刻着“不过如此”的章，盖在封面上
悲惨世界（上中下）	[法] 雨果 	 人民文学出版社 	 1992-6 	 66.00元	8.9	现实主义与浪漫主义的至高杰作
盗墓笔记4	南派三叔 	 中国友谊出版公司 	 2008-11 	 32.80元	8.4	蛇沼鬼城，坑越挖越多了
巴别塔之犬	[美] 卡罗琳·帕克丝特 	 南海出版公司 	 2007-7 	 22.00元	7.7	超越语言与生死的爱
香水	[德] 帕·聚斯金德 	 上海译文出版社 	 2005-5 	 20.00元	8.5	恋味癖谋杀案
梦里花落知多少	三毛 	 北京十月文艺出版社 	 2007-6 	 28.00元	8.9	哀而不伤
一只特立独行的猪	王小波 	 北方文艺出版社 	 2006-4 	 18.80元	8.8	生活就是个缓慢受锤的过程，至少还可以特立独行
局外人	[法] 阿尔贝·加缪 	 上海译文出版社 	 2010-9 	 22.00元	9	空
一个人的朝圣	【英】蕾秋·乔伊斯 	 北京联合出版公司 	 2013-9-1 	?32.80 	8.1	空
史蒂夫·乔布斯传	[美] 沃尔特·艾萨克森 	 中信出版社 	 2011-10-24 	 68.00元	8.7	完美主义者的最高形态
看不见的城市	[意大利]伊塔洛·卡尔维诺 	 译林出版社 	 2006-8 	 16.00元	8.8	每一座城市都只在想象中耸立，又在描述中坍圮
长恨歌	王安忆 	 南海出版公司 	 2003-8 	 22.00元	8.2	现代上海史诗
匆匆那年（上下）	九夜茴 	 东方出版社 	 2008-1 	?29.00 	8.3	不悔梦归处 只恨太匆匆
草样年华	孙睿 	 远方出版社 	 2004-1 	 19.50元	7.2	大学生活启蒙读物
往事并不如烟	章诒和 	 人民文学出版社 	 2004-1 	 35.00元	8.6	知识分子的命运浮沉
蔷薇岛屿	安妮宝贝 	 作家出版社 	 2002-8 	 18.00元	8	你们不会彼此遗忘。只会彼此消失
我的路	寂地 	 北方妇女儿童出版社 	 2004-10 	 20.00元	8.6	忧郁的温暖
菊与刀	（美）鲁思?本尼迪克特 	 商务印书馆 	 1990-6 	?16.00 	8.2	复杂矛盾的日本民族
倾城之恋	张爱玲 	 北京十月文艺出版社 	 2006-12 	 29.80元	8.7	棋逢对手，心照不宣
刀锋	[英]毛姆 	 上海译文出版社 	 2007-3 	 18.00元	9	空
球状闪电	刘慈欣 	 四川科学技术出版社 	 2005-6 	 22.00元	8.7	量子之外，没有真相
谁动了我的奶酪？	[美] 斯宾塞·约翰逊 	 中信出版社 	 2001-9 	 16.80元	7.1	鸡汤文始祖
飞鸟集	[印] 罗宾德拉纳德·泰戈尔 	 哈尔滨出版社 	 2004-6 	 16.80元	8.8	淡泊，超脱
七夜雪	沧月 	 北京十月文艺出版社 	 2006-10 	 25.00元	8.4	抵不过时间
曾有一个人，爱我如生命	舒仪 	 中国画报出版社 	 2009-3 	?23.80 	7.5	一见嘉遇误终身
那些年，我们一起追的女孩	九把刀 	 花山文艺出版社 	 2007-1 	 20.00元	8.2	那些年错过的大雨
伊豆的舞女	[日] 川端康成 	 广西师范大学出版社 	 2002-2 	 23.80元	8.2	静美又残酷，无限柔软的川端
